date,value
2001-01-01,5.4100
2001-01-02,6.6700
2001-01-03,6.3500
2001-01-04,5.9200
2001-01-05,5.8300
2001-01-06,5.8300
2001-01-07,5.8300
2001-01-08,5.9800
2001-01-09,5.9500
2001-01-10,6.0600
2001-01-11,6.0500
2001-01-12,5.9800
2001-01-13,5.9800
2001-01-14,5.9800
2001-01-15,5.9800
2001-01-16,6.2000
2001-01-17,5.9400
2001-01-18,5.9300
2001-01-19,5.9200
2001-01-20,5.9200
2001-01-21,5.9200
2001-01-22,6.0000
2001-01-23,5.9700
2001-01-24,6.0500
2001-01-25,6.1000
2001-01-26,5.9600
2001-01-27,5.9600
2001-01-28,5.9600
2001-01-29,5.9800
2001-01-30,5.9000
2001-01-31,5.7400
2001-02-01,5.5700
2001-02-02,5.5000
2001-02-03,5.5000
2001-02-04,5.5000
2001-02-05,5.5200
2001-02-06,5.4800
2001-02-07,5.5000
2001-02-08,5.5000
2001-02-09,5.4400
2001-02-10,5.4400
2001-02-11,5.4400
2001-02-12,5.4800
2001-02-13,5.4600
2001-02-14,5.5000
2001-02-15,5.5700
2001-02-16,5.4600
2001-02-17,5.4600
2001-02-18,5.4600
2001-02-19,5.4600
2001-02-20,5.5700
2001-02-21,5.5000
2001-02-22,5.5200
2001-02-23,5.4600
2001-02-24,5.4600
2001-02-25,5.4600
2001-02-26,5.5500
2001-02-27,5.4900
2001-02-28,5.5900
2001-03-01,5.5900
2001-03-02,5.5200
2001-03-03,5.5200
2001-03-04,5.5200
2001-03-05,5.5200
2001-03-06,5.3900
2001-03-07,5.3400
2001-03-08,5.4600
2001-03-09,5.4200
2001-03-10,5.4200
2001-03-11,5.4200
2001-03-12,5.5000
2001-03-13,5.5000
2001-03-14,5.4800
2001-03-15,5.5200
2001-03-16,5.4000
2001-03-17,5.4000
2001-03-18,5.4000
2001-03-19,5.3800
2001-03-20,5.1400
2001-03-21,5.0500
2001-03-22,5.0400
2001-03-23,4.9400
2001-03-24,4.9400
2001-03-25,4.9400
2001-03-26,5.0300
2001-03-27,5.0400
2001-03-28,5.0500
2001-03-29,5.1900
2001-03-30,5.2900
2001-03-31,5.2900
2001-04-01,5.2900
2001-04-02,5.3000
2001-04-03,5.1000
2001-04-04,5.0100
2001-04-05,5.0400
2001-04-06,4.9400
2001-04-07,4.9400
2001-04-08,4.9400
2001-04-09,4.9800
2001-04-10,4.9600
2001-04-11,4.9500
2001-04-12,5.0200
2001-04-13,5.0100
2001-04-14,5.0100
2001-04-15,5.0100
2001-04-16,5.1700
2001-04-17,4.9900
2001-04-18,4.6700
2001-04-19,4.4700
2001-04-20,4.3800
2001-04-21,4.3800
2001-04-22,4.3800
2001-04-23,4.4000
2001-04-24,4.4100
2001-04-25,4.5400
2001-04-26,4.5700
2001-04-27,4.5100
2001-04-28,4.5100
2001-04-29,4.5100
2001-04-30,4.6700
2001-05-01,4.6100
2001-05-02,4.3500
2001-05-03,4.4800
2001-05-04,4.4100
2001-05-05,4.4100
2001-05-06,4.4100
2001-05-07,4.4700
2001-05-08,4.4100
2001-05-09,4.4300
2001-05-10,4.5100
2001-05-11,4.4700
2001-05-12,4.4700
2001-05-13,4.4700
2001-05-14,4.4300
2001-05-15,4.2200
2001-05-16,4.0400
2001-05-17,4.0400
2001-05-18,3.9500
2001-05-19,3.9500
2001-05-20,3.9500
2001-05-21,4.0200
2001-05-22,3.9900
2001-05-23,3.9700
2001-05-24,3.9800
2001-05-25,3.9400
2001-05-26,3.9400
2001-05-27,3.9400
2001-05-28,3.9400
2001-05-29,4.0900
2001-05-30,4.0500
2001-05-31,4.2400
2001-06-01,4.1400
2001-06-02,4.1400
2001-06-03,4.1400
2001-06-04,4.0300
2001-06-05,3.9300
2001-06-06,3.9100
2001-06-07,3.9200
2001-06-08,4.0200
2001-06-09,4.0200
2001-06-10,4.0200
2001-06-11,4.0300
2001-06-12,3.9800
2001-06-13,4.0400
2001-06-14,4.0300
2001-06-15,3.9400
2001-06-16,3.9400
2001-06-17,3.9400
2001-06-18,3.9100
2001-06-19,3.9100
2001-06-20,3.9800
2001-06-21,4.0200
2001-06-22,3.9800
2001-06-23,3.9800
2001-06-24,3.9800
2001-06-25,3.9700
2001-06-26,3.7500
2001-06-27,3.6800
2001-06-28,3.8600
2001-06-29,3.9500
2001-06-30,3.9500
2001-07-01,3.9500
2001-07-02,4.1100
2001-07-03,3.6900
2001-07-04,3.6900
2001-07-05,3.7200
2001-07-06,3.6000
2001-07-07,3.6000
2001-07-08,3.6000
2001-07-09,3.6700
2001-07-10,3.7100
2001-07-11,3.7800
2001-07-12,3.7800
2001-07-13,3.7500
2001-07-14,3.7500
2001-07-15,3.7500
2001-07-16,3.8200
2001-07-17,3.7100
2001-07-18,3.7300
2001-07-19,3.7700
2001-07-20,3.8000
2001-07-21,3.8000
2001-07-22,3.8000
2001-07-23,3.8200
2001-07-24,3.8200
2001-07-25,3.8900
2001-07-26,3.8700
2001-07-27,3.7500
2001-07-28,3.7500
2001-07-29,3.7500
2001-07-30,3.7900
2001-07-31,3.8200
2001-08-01,3.7900
2001-08-02,3.6800
2001-08-03,3.6900
2001-08-04,3.6900
2001-08-05,3.6900
2001-08-06,3.7300
2001-08-07,3.6900
2001-08-08,3.7500
2001-08-09,3.7700
2001-08-10,3.7000
2001-08-11,3.7000
2001-08-12,3.7000
2001-08-13,3.7900
2001-08-14,3.7600
2001-08-15,3.8300
2001-08-16,3.7500
2001-08-17,3.6600
2001-08-18,3.6600
2001-08-19,3.6600
2001-08-20,3.6400
2001-08-21,3.5300
2001-08-22,3.5100
2001-08-23,3.5500
2001-08-24,3.5100
2001-08-25,3.5100
2001-08-26,3.5100
2001-08-27,3.5400
2001-08-28,3.5000
2001-08-29,3.5000
2001-08-30,3.5800
2001-08-31,3.6600
2001-09-01,3.6600
2001-09-02,3.6600
2001-09-03,3.6600
2001-09-04,3.6700
2001-09-05,3.4900
2001-09-06,3.5200
2001-09-07,3.4400
2001-09-08,3.4400
2001-09-09,3.4400
2001-09-10,3.5000
2001-09-11,3.5000
2001-09-12,3.5600
2001-09-13,3.3100
2001-09-14,3.1300
2001-09-15,3.1300
2001-09-16,3.1300
2001-09-17,2.1300
2001-09-18,1.2500
2001-09-19,1.1900
2001-09-20,2.2200
2001-09-21,3.1100
2001-09-22,3.1100
2001-09-23,3.1100
2001-09-24,3.3100
2001-09-25,3.1100
2001-09-26,2.9600
2001-09-27,3.0800
2001-09-28,2.7500
2001-09-29,2.7500
2001-09-30,2.7500
2001-10-01,3.0200
2001-10-02,2.3500
2001-10-03,2.2700
2001-10-04,2.4500
2001-10-05,2.4200
2001-10-06,2.4200
2001-10-07,2.4200
2001-10-08,2.4200
2001-10-09,2.5000
2001-10-10,2.4200
2001-10-11,2.4200
2001-10-12,2.3900
2001-10-13,2.3900
2001-10-14,2.3900
2001-10-15,2.5100
2001-10-16,2.4700
2001-10-17,2.5100
2001-10-18,2.5000
2001-10-19,2.4700
2001-10-20,2.4700
2001-10-21,2.4700
2001-10-22,2.5200
2001-10-23,2.4800
2001-10-24,2.5300
2001-10-25,2.5400
2001-10-26,2.5100
2001-10-27,2.5100
2001-10-28,2.5100
2001-10-29,2.5500
2001-10-30,2.5500
2001-10-31,2.6600
2001-11-01,2.6100
2001-11-02,2.4300
2001-11-03,2.4300
2001-11-04,2.4300
2001-11-05,2.4500
2001-11-06,2.1300
2001-11-07,2.0400
2001-11-08,2.0300
2001-11-09,1.9800
2001-11-10,1.9800
2001-11-11,1.9800
2001-11-12,1.9800
2001-11-13,2.1000
2001-11-14,2.1600
2001-11-15,2.2200
2001-11-16,1.9800
2001-11-17,1.9800
2001-11-18,1.9800
2001-11-19,2.0100
2001-11-20,1.9700
2001-11-21,1.9300
2001-11-22,1.9300
2001-11-23,1.8800
2001-11-24,1.8800
2001-11-25,1.8800
2001-11-26,2.0400
2001-11-27,2.0100
2001-11-28,2.0400
2001-11-29,2.0900
2001-11-30,2.0600
2001-12-01,2.0600
2001-12-02,2.0600
2001-12-03,2.0500
2001-12-04,1.9300
2001-12-05,1.8900
2001-12-06,1.8700
2001-12-07,1.9200
2001-12-08,1.9200
2001-12-09,1.9200
2001-12-10,1.9000
2001-12-11,1.8000
2001-12-12,1.8100
2001-12-13,1.8600
2001-12-14,1.8800
2001-12-15,1.8800
2001-12-16,1.8800
2001-12-17,1.9300
2001-12-18,1.7100
2001-12-19,1.7100
2001-12-20,1.7900
2001-12-21,1.7800
2001-12-22,1.7800
2001-12-23,1.7800
2001-12-24,1.6800
2001-12-25,1.6800
2001-12-26,1.8900
2001-12-27,1.8500
2001-12-28,1.5400
2001-12-29,1.5400
2001-12-30,1.5400
2001-12-31,1.5200
2002-01-01,1.5200
2002-01-02,1.9200
2002-01-03,1.7200
2002-01-04,1.6100
2002-01-05,1.6100
2002-01-06,1.6100
2002-01-07,1.6100
